"texture","profile_resid","height","fill","speed"
0.6756904,7.07308045627051,0.1,100,20
0.60419525,6.70027725801472,0.1,100,40
0.9276159,12.4543719500446,0.1,100,60
0.4633802,3.07411879882435,0.1,20,40
0.4465157,5.66356292521333,0.1,20,60
0.45108355,10.5292046995448,0.1,40,20
0.47138875,5.4719679622003,0.1,40,40
0.47098895,3.59207579629048,0.1,40,60
0.45936295,7.71903949111487,0.1,60,20
0.48313085,6.99366765021275,0.1,60,40
0.4713982,5.14736956100066,0.1,60,60
0.4930458,8.21122108852904,0.2,100,20
0.5150286,6.41026265150648,0.2,100,40
0.63769895,4.55085614113483,0.2,100,60
0.5343242,2.66877495517563,0.2,20,20
0.6132529,5.61727266481196,0.2,20,60
0.57311255,6.80053397821743,0.2,40,20
0.6915607,8.68566835790594,0.2,40,40
0.44325035,5.31699068992847,0.2,40,60
0.4322819,8.63875820854964,0.2,60,60
