-8.669e+05,-9.3669e+05,3.7671e+05,-14508
9.0335e+05,-1.1051e+06,6.9585e+05,69639
6.3307e+06,5.9005e+05,6.6348e+05,2.9326e+05
-2.2922e+06,-6.9503e+05,-1.1926e+05,88962
5.2791e+06,-4.8471e+05,-4.2189e+05,2.7293e+05
-4.5584e+05,-1.0817e+06,7.7129e+05,-2.8761e+05
-1.4487e+05,-84946,-7.8253e+05,2.2838e+05
3.1743e+06,1.2338e+06,-6.6795e+05,-7.9397e+05
-6.2884e+05,-4.7848e+05,-1.1744e+05,-89037
-1.2219e+06,-4.0047e+05,-1.0238e+05,-2.032e+05
-1.1076e+06,-6.3816e+05,1.2624e+05,-23306
6.2645e+05,-8.9751e+05,4.941e+05,-1.2542e+05
-1.7953e+06,3.5183e+06,5.2334e+05,81006
-2.6035e+06,3.4042e+06,4.156e+05,73579
2.7621e+06,1.0746e+06,-8.1594e+05,1.245e+05
-1.0781e+05,-8.2039e+05,4.3209e+05,237.25
1.6624e+05,-4.872e+05,-1.784e+05,-57983
-2.3296e+06,-9.6133e+05,2811.5,72946
-3.059e+06,-1.2547e+05,-9.1381e+05,1.4925e+05
-2.6291e+06,-6.2371e+05,-3.8191e+05,1.4033e+05
